#,Title,Audio Lang,Subtitles,Picture,Format,Projection,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Fit,Release Date,Watch Date,Cinema,Audi No.,Seat No.,Company
,F9,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.09.03,,"TDI Jagat, Chandigarh, India",,,Alone
,The Boss Baby: Family Business,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.10.08,,"TDI Jagat, Chandigarh, India",,,Alone
,Jungle Cruise,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.07.31,,"Bestech Square Mall, Mohali",,,Alone
,The Suicide Squad,English,None,2D,,Xenon,2K,5.1,2.39:1,1.90:1,FS,2021.08.05,,"Elante Mall, Chandigarh, India",,,Alone
,Free Guy,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.09.17,,"DLF Centre Mall, Chandigarh, India",,,Alone
,Reminiscence,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.08.27,,"Elante Mall, Chandigarh, India",,,Alone
,Shang-Chi And The Legend Of The Ten Rings,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.09.03,,"Cosmo Mall, Zirakpur",,,Alone
,Shang-Chi And The Legend Of The Ten Rings,English,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.09.03,,"Elante Mall, Chandigarh, India",,,Alone
,RRR,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2022.03.25,,"Bestech Square Mall, Mohali",,,Alone
,Malignant,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.09.10,,"TDI Jagat, Chandigarh, India",,,Alone
,Venom: Let There Be Carnage,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.10.14,,"TDI Jagat, Chandigarh, India",,,Alone
,No Time To Die,English,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.09.30,,"Elante Mall, Chandigarh, India",,,Alone
,Dune: Part One,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.10.22,,"Bestech Square Mall, Mohali",,,Alone
,Eternals,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.11.05,,"Bestech Square Mall, Mohali",,,Alone
,Ghostbusters: Afterlife,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.11.19,,"Bestech Square Mall, Mohali",,,Alone
,Spider-Man: No Way Home,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.12.16,,"Elante Mall, Chandigarh, India",,,Alone
,Spider-Man: No Way Home,English,None,3D,IMAX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2021.12.19,,"Vegas Mall, Dwarka, Delhi",,,Alone
,Scream,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2022.01.14,,"TDI Jagat, Chandigarh, India",,,Alone
,The Kashmir Files,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Bhool Bhulaiyaa 2,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Ek Villain Returns,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Centra Mall, Chandigarh, India",,,Alone
,Brahmastra: Part One Shiva,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Brahmastra: Part One Shiva,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Bhediya,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Kantara,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Centra Mall, Chandigarh, India",,,Alone
,Moonfall,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Uncharted,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,The Batman,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Everything Everywhere All At One,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Elante Mall, Chandigarh, India",,,Alone
,Morbius,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Centra Mall, Chandigarh, India",,,Alone
,Sonic The Hedgehog Hog 2,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Centra Mall, Chandigarh, India",,,Alone
,Ambulance,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Doctor Strange in the Multiverse of Madness,English,None,3D,IMAX,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Ambience Mall, Gurugram",,,Alone
,Doctor Strange in the Multiverse of Madness,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Top Gun Maverick,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Bestech Square Mall, Mohali",,,Alone
,Top Gun Maverick,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Jurassic World Dominion,English,None,3D,IMAX,Xenon,2K,5.1,2.39:1,2.00:1,FS,,,"Logix City Center, Noida",,,Alone
,Lightyear,English,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,2022.06.19,"VR Punjab Mall, Mohali",,,Alone
,Minions: The Rise of Gru,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Thor: Love And Thunder,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Nope,English,None,2D,4DX,Xenon,2K,5.1,2.39:1,2.20:1,FS,,,"Elante Mall, Chandigarh, India",,,Alone
,DC League of Super Pets,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Bullet Train,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Beast,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Black Adam,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Black Panther: Wakanda Forever,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Avatar,English,None,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,1.78:1,FS,,,"Select Citywalk, Saket, Delhi",,,Alone
,Avatar: The Way of Water,English,None,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,1.90:1,FS,,,"Select Citywalk, Saket, Delhi",,,Alone
,Avatar: The Way of Water,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"TDI Jagat, Chandigarh, India",,,Alone
,Jujutsu Kaisen 0,Japanese,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2022.06.30,,"TDI Jagat, Chandigarh, India",,,Alone
,Vikrant Rona,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2022.07.28,,"TDI Jagat, Chandigarh, India",,,Alone
,Dragon Ball Super: Super Hero,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,1.78:1,FS,2022.08.26,,"Hi5 Mall, Panchkula",,,Alone
,Puss in Boots: The Last Wish,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.01.20,2023.01.22,"TDI Jagat, Chandigarh, India",,,Alone
,M3GAN,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.01.13,2023.01.15,"Elante Mall, Chandigarh, India",,,Alone
,Pathaan,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.01.25,2023.01.29,"TDI Jagat, Chandigarh, India",,,Alone
,Ant-Man and the Wasp: Quantamania,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.02.17,2023.02.19,"TDI Jagat, Chandigarh, India",,,Alone
,Scream VI,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.03.10,2023.03.15,"Bestech Square Mall, Mohali",,,Alone
,Shazam! Fury of the Gods,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.03.17,2023.03.18,"Centra Mall, Chandigarh, India",,,Alone
,John Wick Chapter 4,English,None,2D,4DX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.03.24,2023.03.25,"Elante Mall, Chandigarh, India",,,Alone
,Dungeons & Dragons: Honor Among Thieves,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.03.31,,"TDI Jagat, Chandigarh, India",,,Alone
,The Super Mario Bros. Movie,Hindi,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.04.07,2023.04.08,"Bestech Square Mall, Mohali",,,Alone
,Evil Dead Rise,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.04.21,2023.04.23,"TDI Jagat, Chandigarh, India",,,Alone
,Titanic,English,None,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.02.10,2023.02.11,"Select Citywalk, Saket, Delhi",,,Alone
,Guardians of the Galaxy Vol. 3,English,None,3D,IMAX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.05.05,2023.05.06,"Logix City Center, Noida",,,Alone
,Fast X,Hindi,None,3D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.05.18,,"TDI Jagat, Chandigarh, India",,,Alone
,Interstellar,English,None,2D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.11.07,2023.05.28,"Select Citywalk,Saket, Delhi",,,Alone
,The Flash,English,None,2D,IMAX,Xenon,2K,5.1,2.39:1,1.90:1,FS,2023.06.15,2023.06.16,"Vegas Mall, Dwarka, Delhi",,,Alone
,Elemental,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,1.85:1,FS,2023.06.23,2023.06.24,"TDI Jagat, Chandigarh, India",,,Alone
,Transformers Rise of the Beasts,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.06.08,2023.06.25,"TDI Jagat, Chandigarh, India",,,Alone
,Mission Impossible: Dead Reckoning - Part One,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.07.12,2023.07.12,"Centra Mall, Chandigarh, India",,,Alone
,Oppenheimer,English,None,2D,,Xenon,2K,5.1,2.39:1,2.20:1,FS,2023.07.21,2023.07.21,"Elante Mall, Chandigarh, India",,,Alone
,Barbie,English,None,2D,,Xenon,2K,5.1,2.39:1,2.00:1,FS,2023.07.21,,"Centra Mall, Chandigarh, India",,,Alone
,Blue Beetle,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.08.18,,"DLF Centre Mall, Chandigarh, India",,,Alone
,Koi? Mil Gaya,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.08.04,2023.08.05,"Elante Mall, Chandigarh, India",7,,Alone
,Rocki Aur Rani Kii Prem Kahaani,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.07.28,2023.08.06,"Piccadily Square Mall, Chandigarh, India",,,Alone
,Koi? Mil Gaya,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.08.04,2023.08.10,"Elante Mall, Chandigarh, India",7,,Alone
,OMG 2,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.08.11,2023.08.15,"Elante Mall, Chandigarh, India",3,,Alone
,Teenage Mutant Ninja Turtles: Mutant Mayhem,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.09.01,2023.09.02,"TDI Jagat, Chandigarh, India",,,Alone
,Jawan,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.09.07,2023.09.07,"Elante Mall, Chandigarh, India",3,,Alone
,The Nun 2,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.09.07,2023.09.24,"TDI Jagat, Chandigarh, India",,,Alone
,The Creator,English,None,2D,ScreenX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.09.29,2023.09.30,"Pacific Outlet Mall, Jasola, Delhi",,,Alone
,Spider-Man Across The Spider-Verse,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.06.01,2023.10.10,"Bestech Square Mall, Mohali",,,Alone
,The Exorcist: Beliver,English,None,2D,IMAX with Laser,Xenon,2K,5.1,2.39:1,1.85:1,FS,2033.10.06,2023.10.13,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Gravity,English,None,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.10.13,2023.10.13,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Gran Turismo,English,None,2D,,Xenon,2K,5.1,2.39:1,1.85:1,FS,2023.08.25,2023.08.27,"TDI Jagat, Chandigarh, India",,,Alone
,Killers of the Flower Moon,English,None,2D,P[XL],Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.10.27,2023.11.02,"CP67 Mall, Mohali",,,Alone
,The Marvels,English,None,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.11.10,2023.11.11,"Paras Cinema, Nehru Enclave, Delhi",,,Alone
,The Marvels,English,None,2D,ScreenX,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.11.10,2023.11.11,"Pacific Outlet Mall, Jasola, Delhi",,,Alone
,Sam Bahaadur,Hindi,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.12.01,2023.12.02,"Centra Mall, Chandigarh, India",,,Alone
,Animal,Hindi,None,2D,P[XL],Xenon,2K,5.1,1.85:1,2.39:1,FS,2023.12.01,2023.12.03,"CP67 Mall, Mohali",,,Alone
,Tiger 3,Hindi,English,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.11.12,2023.12.14,"CP67 Mall, Mohali",,,Alone
,Wonka,English,None,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.12.08,2023.12.17,"CP67 Mall, Mohali",,,Alone
,Aquaman and the Lost Kingdom,English,None,3D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.12.21,2023.12.21,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Walking on Moon,Hindi,None,3D,IMAX 15/70,Xenon,2K,5.1,2.39:1,2.39:1,FS,2005.07.01,2023.12.22,"Gujarat Science City, Ahmedabad",,,Alone
,T-rex,Hindi,None,3D,IMAX 15/70,Xenon,2K,5.1,2.39:1,2.39:1,FS,2005.06.20,2023.12.22,"Gujarat Science City, Ahmedabad",,,Alone
,Migration,English,None,3D,RealD,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.12.29,2023.12.30,"TDI Jagat, Chandigarh, India",,,Alone
,Madame Web,English,English,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.12.30,2023.12.31,"TDI Jagat, Chandigarh, India",,,Alone
,Anyone But You,English,English,2D,,Xenon,2K,5.1,2.39:1,2.39:1,FS,2023.12.31,2024.01.01,"Elante Mall, Chandigarh, India",,,Alone
,Dune,English,English,2D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.01,2024.01.02,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Dune Part Two,English,English,2D,IMAX with Laser,Xenon,2K,5.1,2.39:1,2.39:1,FS,2024.01.02,2024.01.03,"Priya Cinema, Vasant Vihar, Delhi",,,Alone
,Dune Part Two,English,English,2D,ScreenX,Xenon,2K,5.1,2.39:1,2.39:1,FS,,,"Pacific Outlet Mall, Jasola, Delhi",,,Alone
