#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,Avatar: The Way of Water,English,,3D,IMAX with Laser,2K,5.1,2.39:1,1.90:1,,,"Select Citywalk, Saket, Delhi",,
,Avatar: The Way of Water,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,,,"TDI Jagat, Chandigarh, India",,
,Jujutsu Kaisen 0,Japanese,,2D,,2K,5.1,2.39:1,2.39:1,2022.06.30,,"TDI Jagat, Chandigarh, India",,
,Vikrant Rona,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2022.07.28,,"TDI Jagat, Chandigarh, India",,
,Dragon Ball Super: Super Hero,Hindi,,2D,,2K,5.1,2.39:1,1.78:1,2022.08.26,,"Hi5 Mall, Panchkula",,
,Puss in Boots: The Last Wish,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2023.01.20,2023.01.22,"TDI Jagat, Chandigarh, India",,
,M3GAN,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.01.13,2023.01.15,"Elante Mall, Chandigarh, India",,
,Pathaan,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.01.25,2023.01.29,"TDI Jagat, Chandigarh, India",,
,Ant-Man and the Wasp: Quantamania,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2023.02.17,2023.02.19,"TDI Jagat, Chandigarh, India",,
,Scream VI,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.03.10,2023.03.15,"Bestech Square Mall, Mohali",,
,Shazam! Fury of the Gods,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.03.17,2023.03.18,"Centra Mall, Chandigarh, India",,
,John Wick Chapter 4,English,,2D,4DX,2K,5.1,2.39:1,2.39:1,2023.03.24,2023.03.25,"Elante Mall, Chandigarh, India",,
,Dungeons & Dragons: Honor Among Thieves,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.03.31,,"TDI Jagat, Chandigarh, India",,
,The Super Mario Bros. Movie,Hindi,,3D,RealD,2K,5.1,2.39:1,2.39:1,2023.04.07,2023.04.08,"Bestech Square Mall, Mohali",,
,Evil Dead Rise,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.04.21,2023.04.23,"TDI Jagat, Chandigarh, India",,
,Titanic,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2023.02.10,2023.02.11,"Select Citywalk, Saket, Delhi",,
,Guardians of the Galaxy Vol. 3,English,,3D,IMAX,2K,5.1,2.39:1,2.39:1,2023.05.05,2023.05.06,"Logix City Center, Noida",,
,Fast X,Hindi,,3D,,2K,5.1,2.39:1,2.39:1,2023.05.18,,"TDI Jagat, Chandigarh, India",,
,Interstellar,English,,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2023.11.07,2023.05.28,"Select Citywalk,Saket, Delhi",,
,The Flash,English,,2D,IMAX,2K,5.1,2.39:1,1.90:1,2023.06.15,2023.06.16,"Vegas Mall, Dwarka, Delhi",,
,Elemental,English,,3D,RealD,2K,5.1,2.39:1,1.85:1,2023.06.23,2023.06.24,"TDI Jagat, Chandigarh, India",,
,Transformers Rise of the Beasts,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,2023.06.08,2023.06.25,"TDI Jagat, Chandigarh, India",,
,Mission Impossible: Dead Reckoning - Part One,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.07.12,2023.07.12,"Centra Mall, Chandigarh, India",,
,Oppenheimer,English,,2D,,2K,5.1,2.39:1,2.20:1,2023.07.21,2023.07.21,"Elante Mall, Chandigarh, India",,
,Barbie,English,,2D,,2K,5.1,2.39:1,2.00:1,2023.07.21,,"Centra Mall, Chandigarh, India",,
,Blue Beetle,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.08.18,,"DLF Centre Mall, Chandigarh, India",,
,Koi? Mil Gaya,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.08.04,2023.08.05,"Elante Mall, Chandigarh, India",7,
,Rocki Aur Rani Kii Prem Kahaani,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.07.28,2023.08.06,"Piccadily Square Mall, Chandigarh, India",,
,Koi? Mil Gaya,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.08.04,2023.08.10,"Elante Mall, Chandigarh, India",7,
,OMG 2,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.08.11,2023.08.15,"Elante Mall, Chandigarh, India",3,
,Teenage Mutant Ninja Turtles: Mutant Mayhem,English,,3D,,2K,5.1,2.39:1,2.39:1,2023.09.01,2023.09.02,"TDI Jagat, Chandigarh, India",,
,Jawan,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,2023.09.07,2023.09.07,"Elante Mall, Chandigarh, India",3,
,The Nun 2,English,,2D,,2K,5.1,2.39:1,2.39:1,2023.09.07,2023.09.24,"TDI Jagat, Chandigarh, India",,
